# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
1305031108.375410 1305031108.411361 1305031108.375800 1305031108.415700 0.002134 0.003949 0.014943 0.020267
1305031108.411361 1305031108.443610 1305031108.415700 1305031108.445900 0.005237 0.004714 0.011428 0.015453
1305031108.443610 1305031108.475471 1305031108.445900 1305031108.475800 0.005922 0.006717 0.011416 0.013671
1305031108.475471 1305031108.511378 1305031108.475800 1305031108.515800 0.006973 0.011358 0.015240 0.015307
1305031108.511378 1305031108.543737 1305031108.515800 1305031108.545800 0.005544 0.001608 0.011380 0.014436
1305031108.543737 1305031108.575414 1305031108.545800 1305031108.575900 0.008366 0.009809 0.011703 0.007318
1305031108.575414 1305031108.611407 1305031108.575900 1305031108.615700 0.006844 0.010418 0.015754 0.015954
1305031108.611407 1305031108.643303 1305031108.615700 1305031108.645700 0.005673 0.008401 0.011431 0.007924
1305031108.643303 1305031108.675375 1305031108.645700 1305031108.675700 0.011294 0.008710 0.011449 0.015992
1305031108.675375 1305031108.711411 1305031108.675700 1305031108.715800 0.010824 0.003411 0.013834 0.019910
1305031108.711411 1305031108.743502 1305031108.715800 1305031108.745800 0.004271 0.010224 0.009726 0.004621
1305031108.743502 1305031108.775493 1305031108.745800 1305031108.775800 0.004967 0.004058 0.008453 0.009000
1305031108.775493 1305031108.811244 1305031108.775800 1305031108.815900 0.007615 0.003900 0.009395 0.012753
1305031108.811244 1305031108.843264 1305031108.815900 1305031108.835700 0.002629 0.006925 0.003868 0.007097
1305031108.943243 1305031108.975268 1305031108.945800 1305031108.975800 0.007747 0.006876 0.003640 0.011154
1305031108.975268 1305031109.011269 1305031108.975800 1305031109.015700 0.009700 0.007257 0.006535 0.006146
1305031109.011269 1305031109.043277 1305031109.015700 1305031109.045800 0.004114 0.005672 0.006505 0.008122
1305031109.043277 1305031109.075410 1305031109.045800 1305031109.075700 0.009559 0.007122 0.007211 0.011243
1305031109.075410 1305031109.111282 1305031109.075700 1305031109.115700 0.007176 0.004548 0.011415 0.010956
1305031109.111282 1305031109.143334 1305031109.115700 1305031109.145700 0.012202 0.007838 0.009949 0.009193
1305031109.143334 1305031109.175464 1305031109.145700 1305031109.175700 0.007547 0.001830 0.010416 0.014166
1305031109.175464 1305031109.211379 1305031109.175700 1305031109.215700 0.014901 0.020636 0.014579 0.023831
1305031109.211379 1305031109.243290 1305031109.215700 1305031109.245700 0.003480 0.004038 0.011642 0.017360
1305031109.243290 1305031109.275308 1305031109.245700 1305031109.275700 0.020719 0.023676 0.012011 0.012628
1305031109.275308 1305031109.311329 1305031109.275700 1305031109.315700 0.007841 0.012202 0.017303 0.022987
1305031109.311329 1305031109.343248 1305031109.315700 1305031109.345700 0.006932 0.007793 0.013102 0.017945
1305031109.343248 1305031109.375397 1305031109.345700 1305031109.375700 0.005926 0.006880 0.013403 0.013538
1305031109.375397 1305031109.411329 1305031109.375700 1305031109.415800 0.003697 0.002720 0.017901 0.017913
1305031109.411329 1305031109.443302 1305031109.415800 1305031109.445700 0.005297 0.008312 0.013203 0.012684
1305031109.443302 1305031109.475363 1305031109.445700 1305031109.475800 0.006510 0.006979 0.013020 0.007037
1305031109.475363 1305031109.511273 1305031109.475800 1305031109.515800 0.006335 0.005698 0.017201 0.011379
1305031109.511273 1305031109.543294 1305031109.515800 1305031109.545800 0.001761 0.003886 0.012577 0.005422
1305031109.543294 1305031109.575362 1305031109.545800 1305031109.575700 0.006848 0.005329 0.012353 0.000989
1305031109.575362 1305031109.611310 1305031109.575700 1305031109.615800 0.003529 0.002859 0.015852 0.008077
1305031109.611310 1305031109.643229 1305031109.615800 1305031109.645700 0.002504 0.005091 0.011421 0.003561
1305031109.643229 1305031109.675263 1305031109.645700 1305031109.675700 0.006070 0.004417 0.011607 0.004656
1305031109.675263 1305031109.711312 1305031109.675700 1305031109.715700 0.003891 0.006986 0.015954 0.013239
1305031109.711312 1305031109.743274 1305031109.715700 1305031109.745700 0.002343 0.002900 0.011992 0.007518
1305031109.743274 1305031109.775277 1305031109.745700 1305031109.775800 0.003633 0.004894 0.012068 0.003923
1305031109.775277 1305031109.811371 1305031109.775800 1305031109.815700 0.003058 0.004528 0.016581 0.007894
1305031109.811371 1305031109.843296 1305031109.815700 1305031109.845700 0.001344 0.001447 0.012716 0.007033
1305031109.843296 1305031109.875306 1305031109.845700 1305031109.875800 0.004723 0.006770 0.013336 0.009711
1305031109.875306 1305031109.911265 1305031109.875800 1305031109.915800 0.007329 0.003829 0.017745 0.014419
1305031109.911265 1305031109.943299 1305031109.915800 1305031109.945700 0.006834 0.011502 0.013329 0.013366
1305031109.943299 1305031109.975258 1305031109.945700 1305031109.975800 0.003933 0.007117 0.013626 0.012997
1305031109.975258 1305031110.011256 1305031109.975800 1305031110.015700 0.005076 0.003442 0.017718 0.017167
1305031110.011256 1305031110.043299 1305031110.015700 1305031110.045700 0.000972 0.002671 0.012705 0.012910
1305031110.043299 1305031110.075319 1305031110.045700 1305031110.075700 0.004417 0.001641 0.012320 0.008745
1305031110.075319 1305031110.111325 1305031110.075700 1305031110.115700 0.004346 0.006103 0.015593 0.017191
1305031110.111325 1305031110.143432 1305031110.115700 1305031110.145800 0.005342 0.006100 0.011035 0.007929
1305031110.143432 1305031110.175641 1305031110.145800 1305031110.175700 0.006258 0.003225 0.010968 0.006142
1305031110.175641 1305031110.211637 1305031110.175700 1305031110.215800 0.005781 0.005503 0.013574 0.009461
1305031110.211637 1305031110.243323 1305031110.215800 1305031110.245700 0.004961 0.004393 0.009744 0.008185
1305031110.243323 1305031110.279321 1305031110.245700 1305031110.275700 0.003527 0.002615 0.009610 0.006711
1305031110.279321 1305031110.311404 1305031110.275700 1305031110.315700 0.002314 0.004207 0.012724 0.011913
1305031110.311404 1305031110.343355 1305031110.315700 1305031110.345700 0.004005 0.003074 0.010205 0.009374
1305031110.343355 1305031110.379281 1305031110.345700 1305031110.375700 0.002968 0.000896 0.010408 0.013213
1305031110.379281 1305031110.411469 1305031110.375700 1305031110.415700 0.005879 0.006737 0.014728 0.016165
1305031110.411469 1305031110.443260 1305031110.415700 1305031110.445700 0.003259 0.007084 0.011463 0.014127
1305031110.443260 1305031110.479331 1305031110.445700 1305031110.475700 0.005242 0.008372 0.011245 0.016794
1305031110.479331 1305031110.511429 1305031110.475700 1305031110.515700 0.004429 0.002548 0.014750 0.016919
1305031110.511429 1305031110.543408 1305031110.515700 1305031110.545700 0.003966 0.004318 0.010792 0.013651
1305031110.543408 1305031110.579426 1305031110.545700 1305031110.575700 0.004487 0.004790 0.010226 0.014621
1305031110.579426 1305031110.611307 1305031110.575700 1305031110.615700 0.006634 0.006054 0.012757 0.009876
1305031110.611307 1305031110.643418 1305031110.615700 1305031110.645700 0.001272 0.001692 0.008316 0.008762
1305031110.643418 1305031110.679606 1305031110.645700 1305031110.675700 0.005907 0.008338 0.007325 0.007000
1305031110.679606 1305031110.711412 1305031110.675700 1305031110.715700 0.003997 0.001678 0.008322 0.008813
1305031110.711412 1305031110.743249 1305031110.715700 1305031110.745700 0.002165 0.006046 0.004905 0.005477
1305031110.743249 1305031110.779193 1305031110.745700 1305031110.775800 0.002492 0.004431 0.003805 0.002469
1305031110.779193 1305031110.811386 1305031110.775800 1305031110.815700 0.001082 0.002662 0.003523 0.006441
1305031110.811386 1305031110.843218 1305031110.815700 1305031110.845700 0.002048 0.002630 0.001414 0.005523
1305031110.843218 1305031110.879313 1305031110.845700 1305031110.875700 0.003051 0.003861 0.000245 0.003762
1305031110.879313 1305031110.911333 1305031110.875700 1305031110.915800 0.004390 0.003825 0.001735 0.007255
1305031110.911333 1305031110.943862 1305031110.915800 1305031110.945700 0.003877 0.005640 0.002912 0.006200
1305031110.943862 1305031110.979345 1305031110.945700 1305031110.975700 0.006413 0.007053 0.004477 0.004829
1305031110.979345 1305031111.011431 1305031110.975700 1305031111.015700 0.002134 0.006097 0.007753 0.013550
1305031111.011431 1305031111.043327 1305031111.015700 1305031111.045800 0.003403 0.005184 0.006818 0.008260
1305031111.043327 1305031111.079283 1305031111.045800 1305031111.075700 0.004033 0.003380 0.007443 0.006864
1305031111.079283 1305031111.111508 1305031111.075700 1305031111.115700 0.005182 0.006242 0.010704 0.009864
1305031111.111508 1305031111.143257 1305031111.115700 1305031111.145700 0.001781 0.004212 0.008615 0.007347
1305031111.143257 1305031111.179326 1305031111.145700 1305031111.175700 0.006864 0.009402 0.009414 0.011653
1305031111.179326 1305031111.211433 1305031111.175700 1305031111.215700 0.005873 0.005087 0.013017 0.017952
1305031111.211433 1305031111.243236 1305031111.215700 1305031111.245800 0.004519 0.010201 0.009708 0.005211
1305031111.243236 1305031111.279308 1305031111.245800 1305031111.275700 0.008703 0.010318 0.010837 0.014054
1305031111.279308 1305031111.311547 1305031111.275700 1305031111.315700 0.016030 0.015353 0.014409 0.005389
