# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
1305031106.911243 1305031106.943439 1305031106.915800 1305031106.945800 0.005281 0.010234 0.015872 0.012051
1305031106.943439 1305031106.975547 1305031106.945800 1305031106.975800 0.002610 0.000805 0.016684 0.013032
1305031106.975547 1305031107.011576 1305031106.975800 1305031107.015800 0.010825 0.013627 0.020833 0.011777
1305031107.011576 1305031107.043281 1305031107.015800 1305031107.045800 0.003257 0.002707 0.015205 0.004871
1305031107.043281 1305031107.075432 1305031107.045800 1305031107.075900 0.005558 0.004014 0.015085 0.010221
1305031107.075432 1305031107.111229 1305031107.075900 1305031107.115800 0.005495 0.004075 0.018848 0.008188
1305031107.111229 1305031107.143260 1305031107.115800 1305031107.145800 0.004232 0.005309 0.013484 0.003117
1305031107.143260 1305031107.175399 1305031107.145800 1305031107.175800 0.006481 0.006646 0.013031 0.007738
1305031107.175399 1305031107.211358 1305031107.175800 1305031107.215800 0.004766 0.006696 0.017496 0.017497
1305031107.211358 1305031107.243378 1305031107.215800 1305031107.245800 0.005234 0.002722 0.011592 0.013771
1305031107.243378 1305031107.275398 1305031107.245800 1305031107.275800 0.003047 0.003104 0.012068 0.013293
1305031107.275398 1305031107.311226 1305031107.275800 1305031107.315800 0.005260 0.006439 0.015104 0.019843
1305031107.311226 1305031107.343509 1305031107.315800 1305031107.345800 0.004185 0.005144 0.010429 0.024873
1305031107.343509 1305031107.375413 1305031107.345800 1305031107.375800 0.010764 0.015332 0.009218 0.013619
1305031107.375413 1305031107.411271 1305031107.375800 1305031107.415800 0.002833 0.001229 0.009842 0.016072
1305031107.411271 1305031107.443419 1305031107.415800 1305031107.445800 0.005556 0.004306 0.005135 0.011067
1305031107.443419 1305031107.475377 1305031107.445800 1305031107.475800 0.001286 0.001405 0.004853 0.009218
1305031107.475377 1305031107.511352 1305031107.475800 1305031107.515800 0.007496 0.005947 0.005406 0.005607
1305031107.511352 1305031107.543605 1305031107.515800 1305031107.545700 0.001120 0.002897 0.003536 0.010062
1305031107.543605 1305031107.575454 1305031107.545700 1305031107.575800 0.005245 0.004751 0.003225 0.007478
1305031107.575454 1305031107.611271 1305031107.575800 1305031107.615800 0.007504 0.006580 0.003716 0.002898
1305031107.611271 1305031107.643323 1305031107.615800 1305031107.645800 0.002124 0.001994 0.002594 0.006392
1305031107.643323 1305031107.675568 1305031107.645800 1305031107.675800 0.001944 0.003878 0.002655 0.001017
1305031107.675568 1305031107.711307 1305031107.675800 1305031107.715700 0.001868 0.002444 0.003817 0.004569
1305031107.711307 1305031107.743538 1305031107.715700 1305031107.745800 0.002932 0.002476 0.003013 0.007478
1305031107.743538 1305031107.775802 1305031107.745800 1305031107.775800 0.003772 0.005511 0.002766 0.006873
1305031107.775802 1305031107.811596 1305031107.775800 1305031107.815800 0.002342 0.005482 0.003030 0.008868
1305031107.811596 1305031107.843332 1305031107.815800 1305031107.845900 0.003467 0.003622 0.002223 0.004895
1305031107.843332 1305031107.875358 1305031107.845900 1305031107.875700 0.006423 0.005628 0.002083 0.007636
1305031107.875358 1305031107.911541 1305031107.875700 1305031107.915800 0.001832 0.005100 0.003829 0.010976
1305031107.911541 1305031107.943122 1305031107.915800 1305031107.945800 0.002376 0.005998 0.004616 0.009786
1305031107.943122 1305031107.975807 1305031107.945800 1305031107.975800 0.002205 0.000771 0.006036 0.009403
1305031107.975807 1305031108.011320 1305031107.975800 1305031108.015900 0.001305 0.003660 0.010181 0.014449
1305031108.011320 1305031108.043418 1305031108.015900 1305031108.045800 0.003742 0.005211 0.009874 0.016495
1305031108.043418 1305031108.075352 1305031108.045800 1305031108.075800 0.001948 0.004535 0.010675 0.016951
1305031108.075352 1305031108.111378 1305031108.075800 1305031108.115800 0.007993 0.004523 0.014540 0.012586
1305031108.111378 1305031108.143334 1305031108.115800 1305031108.145900 0.003907 0.005369 0.011811 0.006934
1305031108.143334 1305031108.176058 1305031108.145900 1305031108.175800 0.006522 0.005226 0.011951 0.007009
1305031108.176058 1305031108.211475 1305031108.175800 1305031108.215800 0.003966 0.002455 0.016103 0.012016
1305031108.211475 1305031108.243347 1305031108.215800 1305031108.245800 0.009696 0.005613 0.011921 0.007853
1305031108.243347 1305031108.275358 1305031108.245800 1305031108.275800 0.007693 0.007236 0.011789 0.006511
1305031108.275358 1305031108.311332 1305031108.275800 1305031108.315700 0.008674 0.009105 0.015241 0.012308
1305031108.311332 1305031108.343278 1305031108.315700 1305031108.345800 0.002671 0.003800 0.011258 0.011395
1305031108.343278 1305031108.375410 1305031108.345800 1305031108.375800 0.004126 0.004648 0.011190 0.014580
1305031108.375410 1305031108.411361 1305031108.375800 1305031108.415700 0.003746 0.003339 0.014943 0.020267
1305031108.411361 1305031108.443610 1305031108.415700 1305031108.445900 0.001667 0.001807 0.011428 0.015453
1305031108.443610 1305031108.475471 1305031108.445900 1305031108.475800 0.005911 0.006913 0.011416 0.013671
1305031108.475471 1305031108.511378 1305031108.475800 1305031108.515800 0.007593 0.011532 0.015240 0.015307
1305031108.511378 1305031108.543737 1305031108.515800 1305031108.545800 0.002665 0.005987 0.011380 0.014436
1305031108.543737 1305031108.575414 1305031108.545800 1305031108.575900 0.009241 0.009949 0.011703 0.007318
1305031108.575414 1305031108.611407 1305031108.575900 1305031108.615700 0.004599 0.006152 0.015754 0.015954
1305031108.611407 1305031108.643303 1305031108.615700 1305031108.645700 0.005968 0.009454 0.011431 0.007924
1305031108.643303 1305031108.675375 1305031108.645700 1305031108.675700 0.001791 0.002965 0.011449 0.015992
1305031108.675375 1305031108.711411 1305031108.675700 1305031108.715800 0.006883 0.002278 0.013834 0.019910
1305031108.711411 1305031108.743502 1305031108.715800 1305031108.745800 0.005427 0.010742 0.009726 0.004621
1305031108.743502 1305031108.775493 1305031108.745800 1305031108.775800 0.001902 0.002926 0.008453 0.009000
1305031108.775493 1305031108.811244 1305031108.775800 1305031108.815900 0.006687 0.003881 0.009395 0.012753
1305031108.811244 1305031108.843264 1305031108.815900 1305031108.835700 0.002421 0.006998 0.003868 0.007097
1305031108.943243 1305031108.975268 1305031108.945800 1305031108.975800 0.008411 0.007604 0.003640 0.011154
1305031108.975268 1305031109.011269 1305031108.975800 1305031109.015700 0.007575 0.005773 0.006535 0.006146
1305031109.011269 1305031109.043277 1305031109.015700 1305031109.045800 0.001602 0.003237 0.006505 0.008122
1305031109.043277 1305031109.075410 1305031109.045800 1305031109.075700 0.006726 0.004619 0.007211 0.011243
1305031109.075410 1305031109.111282 1305031109.075700 1305031109.115700 0.004883 0.001133 0.011415 0.010956
1305031109.111282 1305031109.143334 1305031109.115700 1305031109.145700 0.007044 0.003707 0.009949 0.009193
1305031109.143334 1305031109.175464 1305031109.145700 1305031109.175700 0.005425 0.002718 0.010416 0.014166
1305031109.175464 1305031109.211379 1305031109.175700 1305031109.215700 0.010270 0.014322 0.014579 0.023831
1305031109.211379 1305031109.243290 1305031109.215700 1305031109.245700 0.004671 0.005862 0.011642 0.017360
1305031109.243290 1305031109.275308 1305031109.245700 1305031109.275700 0.010599 0.014458 0.012011 0.012628
1305031109.275308 1305031109.311329 1305031109.275700 1305031109.315700 0.006522 0.004280 0.017303 0.022987
1305031109.311329 1305031109.343248 1305031109.315700 1305031109.345700 0.005562 0.006903 0.013102 0.017945
1305031109.343248 1305031109.375397 1305031109.345700 1305031109.375700 0.006645 0.007427 0.013403 0.013538
1305031109.375397 1305031109.411329 1305031109.375700 1305031109.415800 0.014437 0.007830 0.017901 0.017913
1305031109.411329 1305031109.443302 1305031109.415800 1305031109.445700 0.003060 0.008593 0.013203 0.012684
1305031109.443302 1305031109.475363 1305031109.445700 1305031109.475800 0.005443 0.007027 0.013020 0.007037
1305031109.475363 1305031109.511273 1305031109.475800 1305031109.515800 0.006243 0.003518 0.017201 0.011379
1305031109.511273 1305031109.543294 1305031109.515800 1305031109.545800 0.001547 0.004903 0.012577 0.005422
